al4613@nittany.edu,ixg1libp,Alisa Lynch,19,F,CHEM,78 South Brewery Ave. ,62901
am4447@nittany.edu,4eystjwe,Alisha Murray,21,F,CMPSC,639 Princeton Rd. ,46376
ak9804@nittany.edu,p0ulbn26,Alice Kiehn,20,M,PHYS,8985 Cambridge Ave. ,30529
as1233@nittany.edu,06e84eor,Anastasia Shields,18,F,CSE,55 Hall St. ,72571
al5684@nittany.edu,ev4n7hoh,Alyce Leuschke Jr.,21,M,PHYS,232 W. Homewood Ave. ,80104
al6759@nittany.edu,oqt6byzj,Althea Leuschke,21,F,PHYS,608 North Addison St. ,91042
ah2567@nittany.edu,d797xc1r,Alysa Hintz,20,F,EE,7764 Union Avenue ,52041
ab8825@nittany.edu,gr1wwq45,Alisha Beier,21,M,CSE,91 S. Gartner Street ,33162
ak1365@nittany.edu,uy8t28xc,Anastacio Krajcik,18,F,DS,7195 North Canterbury Circle ,86426
at2037@nittany.edu,dfo34diu,Alfonso Torp,18,F,PHYS,963 Court Road ,80820
as3627@nittany.edu,l55ah9nv,Alexis Schulist,22,M,CMPEN,9599 La Sierra St. ,62943
ah3078@nittany.edu,a1uqkqum,Alicia Harber,22,F,MATH,83 Corona Street ,62684
ab8389@nittany.edu,h18e8b5s,Amiya Bogisich II,18,M,MATH,361 E. Sierra Street ,47360
at1813@nittany.edu,wxl0jmfp,Alfredo Trantow,20,F,CMPSC,7450 West Manchester Street ,46121
ao8250@nittany.edu,o81zf7vv,Alysson Okuneva,20,F,MATH,863 Stillwater Road ,62824
al8826@nittany.edu,4n61e74y,Anabel Littel,22,M,EE,798 North Euclid Drive ,30277
ab4479@nittany.edu,frmyglmo,Alycia Berge,20,F,EE,8687 N. Sleepy Hollow Court ,50244
al5806@nittany.edu,ougfoqn0,Ali Ledner,19,F,STAT,608 North Addison St. ,71602
aj1457@nittany.edu,nthuiyec,Angela Jast Jr.,19,M,STAT,141 Gulf Rd. ,33847
ar7586@nittany.edu,5h880la6,Amely Rohan,18,F,PHYS,18 Lakeview Street ,39834
am6718@nittany.edu,wd5xogip,Amaya Mosciski,19,F,CMPSC,7764 Union Avenue ,32927
as4057@nittany.edu,93fj0cwc,Alexys Stanton,21,M,EE,9659 Rosewood Drive ,61870
az6923@nittany.edu,mg8nk8d5,Allene Zulauf,22,M,ECON,358 Marvon Ave. ,96058
ab9912@nittany.edu,gjgm1fqt,Alysa Bosco Sr.,19,F,EE,7529 Old Sunset Road ,62884
ap8429@nittany.edu,uh69s5qo,Amie Pacocha,18,M,ECON,608 North Addison St. ,60932
ag4728@nittany.edu,h5rqfz6v,Amara Gaylord,22,F,PHYS,780 East Redwood Drive ,30078
